keyword_asset_id,keyword,traffic_word_type,source_sheet,source_row,row_layout
kw_0062,jump starter with air compressor,品牌广告词,5.关键词库,63,rich_top_asin_col33
kw_0062,jump starter with air compressor,视频广告词,5.关键词库,63,rich_top_asin_col33
kw_0063,battery starter car jumper,自然搜索词,5.关键词库,64,rich_top_asin_col33
kw_0063,battery starter car jumper,品牌广告词,5.关键词库,64,rich_top_asin_col33
kw_0063,battery starter car jumper,视频广告词,5.关键词库,64,rich_top_asin_col33
kw_0063,battery starter car jumper,SP广告词,5.关键词库,64,rich_top_asin_col33
kw_0064,cargador de batería de carro,自然搜索词,5.关键词库,65,rich_top_asin_col33
kw_0064,cargador de batería de carro,品牌广告词,5.关键词库,65,rich_top_asin_col33
kw_0065,jumper box,自然搜索词,5.关键词库,66,rich_top_asin_col33
kw_0065,jumper box,HR推荐词,5.关键词库,66,rich_top_asin_col33
kw_0065,jumper box,品牌广告词,5.关键词库,66,rich_top_asin_col33
kw_0065,jumper box,视频广告词,5.关键词库,66,rich_top_asin_col33
kw_0065,jumper box,SP广告词,5.关键词库,66,rich_top_asin_col33
kw_0066,jump pack,自然搜索词,5.关键词库,67,rich_top_asin_col33
kw_0066,jump pack,HR推荐词,5.关键词库,67,rich_top_asin_col33
kw_0066,jump pack,品牌广告词,5.关键词库,67,rich_top_asin_col33
kw_0066,jump pack,视频广告词,5.关键词库,67,rich_top_asin_col33
kw_0066,jump pack,SP广告词,5.关键词库,67,rich_top_asin_col33
kw_0068,portable battery jump starter,自然搜索词,5.关键词库,69,rich_top_asin_col33
kw_0068,portable battery jump starter,品牌广告词,5.关键词库,69,rich_top_asin_col33
kw_0068,portable battery jump starter,视频广告词,5.关键词库,69,rich_top_asin_col33
kw_0068,portable battery jump starter,SP广告词,5.关键词库,69,rich_top_asin_col33
kw_0069,car battery jump starter with air compressor,自然搜索词,5.关键词库,70,rich_top_asin_col33
kw_0069,car battery jump starter with air compressor,品牌广告词,5.关键词库,70,rich_top_asin_col33
kw_0070,portable jump starter,自然搜索词,5.关键词库,71,rich_top_asin_col33
kw_0070,portable jump starter,HR推荐词,5.关键词库,71,rich_top_asin_col33
kw_0070,portable jump starter,品牌广告词,5.关键词库,71,rich_top_asin_col33
kw_0070,portable jump starter,视频广告词,5.关键词库,71,rich_top_asin_col33
kw_0070,portable jump starter,SP广告词,5.关键词库,71,rich_top_asin_col33
kw_0071,jumpstarter,自然搜索词,5.关键词库,72,rich_top_asin_col33
kw_0071,jumpstarter,HR推荐词,5.关键词库,72,rich_top_asin_col33
kw_0071,jumpstarter,品牌广告词,5.关键词库,72,rich_top_asin_col33
kw_0071,jumpstarter,视频广告词,5.关键词库,72,rich_top_asin_col33
kw_0071,jumpstarter,SP广告词,5.关键词库,72,rich_top_asin_col33
kw_0072,battery jump box,自然搜索词,5.关键词库,73,rich_top_asin_col33
kw_0072,battery jump box,HR推荐词,5.关键词库,73,rich_top_asin_col33
kw_0072,battery jump box,品牌广告词,5.关键词库,73,rich_top_asin_col33
kw_0072,battery jump box,视频广告词,5.关键词库,73,rich_top_asin_col33
kw_0072,battery jump box,SP广告词,5.关键词库,73,rich_top_asin_col33
kw_0073,vehicle jump starter power pack,自然搜索词,5.关键词库,74,rich_top_asin_col33
kw_0073,vehicle jump starter power pack,品牌广告词,5.关键词库,74,rich_top_asin_col33
kw_0073,vehicle jump starter power pack,视频广告词,5.关键词库,74,rich_top_asin_col33
kw_0073,vehicle jump starter power pack,SP广告词,5.关键词库,74,rich_top_asin_col33
kw_0074,hulkman jump starter 8.5,自然搜索词,5.关键词库,75,rich_top_asin_col33
kw_0075,portable car battery jump starter,自然搜索词,5.关键词库,76,rich_top_asin_col33
kw_0075,portable car battery jump starter,品牌广告词,5.关键词库,76,rich_top_asin_col33
kw_0075,portable car battery jump starter,视频广告词,5.关键词库,76,rich_top_asin_col33
kw_0075,portable car battery jump starter,SP广告词,5.关键词库,76,rich_top_asin_col33
kw_0076,portable car air compressor,自然搜索词,5.关键词库,77,rich_top_asin_col33
kw_0077,jump pack for truck battery,自然搜索词,5.关键词库,78,rich_top_asin_col33
kw_0077,jump pack for truck battery,品牌广告词,5.关键词库,78,rich_top_asin_col33
kw_0077,jump pack for truck battery,视频广告词,5.关键词库,78,rich_top_asin_col33
kw_0077,jump pack for truck battery,SP广告词,5.关键词库,78,rich_top_asin_col33
kw_0078,portable jumper starter,自然搜索词,5.关键词库,79,rich_top_asin_col33
kw_0078,portable jumper starter,品牌广告词,5.关键词库,79,rich_top_asin_col33
kw_0078,portable jumper starter,视频广告词,5.关键词库,79,rich_top_asin_col33
kw_0078,portable jumper starter,SP广告词,5.关键词库,79,rich_top_asin_col33
kw_0079,jump start battery pack air compressor,品牌广告词,5.关键词库,80,rich_top_asin_col33
kw_0079,jump start battery pack air compressor,视频广告词,5.关键词库,80,rich_top_asin_col33
kw_0080,battery jump starter,自然搜索词,5.关键词库,81,rich_top_asin_col33
kw_0080,battery jump starter,HR推荐词,5.关键词库,81,rich_top_asin_col33
kw_0080,battery jump starter,品牌广告词,5.关键词库,81,rich_top_asin_col33
kw_0080,battery jump starter,视频广告词,5.关键词库,81,rich_top_asin_col33
kw_0080,battery jump starter,SP广告词,5.关键词库,81,rich_top_asin_col33
kw_0081,car jumper pack,自然搜索词,5.关键词库,82,rich_top_asin_col33
kw_0081,car jumper pack,品牌广告词,5.关键词库,82,rich_top_asin_col33
kw_0081,car jumper pack,视频广告词,5.关键词库,82,rich_top_asin_col33
kw_0081,car jumper pack,SP广告词,5.关键词库,82,rich_top_asin_col33
kw_0082,portable battery jump starters,自然搜索词,5.关键词库,83,rich_top_asin_col33
kw_0082,portable battery jump starters,HR推荐词,5.关键词库,83,rich_top_asin_col33
kw_0082,portable battery jump starters,品牌广告词,5.关键词库,83,rich_top_asin_col33
kw_0082,portable battery jump starters,视频广告词,5.关键词库,83,rich_top_asin_col33
kw_0082,portable battery jump starters,SP广告词,5.关键词库,83,rich_top_asin_col33
kw_0083,jump boxes,自然搜索词,5.关键词库,84,rich_top_asin_col33
kw_0083,jump boxes,品牌广告词,5.关键词库,84,rich_top_asin_col33
kw_0083,jump boxes,视频广告词,5.关键词库,84,rich_top_asin_col33
kw_0083,jump boxes,SP广告词,5.关键词库,84,rich_top_asin_col33
kw_0084,battery jump starter portable,自然搜索词,5.关键词库,85,rich_top_asin_col33
kw_0084,battery jump starter portable,HR推荐词,5.关键词库,85,rich_top_asin_col33
kw_0084,battery jump starter portable,品牌广告词,5.关键词库,85,rich_top_asin_col33
kw_0084,battery jump starter portable,视频广告词,5.关键词库,85,rich_top_asin_col33
